Date,Open,High,Low,Close,Adj Close,Volume,Day 
2023-07-31,67.230003,67.849998,67.199997,67.779999,67.59375,3532500,212
2023-08-01,67.449997,67.75,67.019997,67.440002,67.254684,3434400,213
2023-08-02,66.669998,67.129997,66.400002,66.809998,66.626411,4642400,214
2023-08-03,66.75,67.360001,66.459999,66.949997,66.766022,4893300,215
2023-08-04,67.470001,67.599998,66.629997,66.730003,66.546638,4899500,216
2023-08-07,66.889999,67.050003,66.209999,66.779999,66.596497,2735200,217
2023-08-08,66.160004,66.300003,65.43,66.239998,66.057976,4307500,218
2023-08-09,66.699997,66.709999,65.779999,65.989998,65.808662,4376600,219
2023-08-10,66.459999,67.169998,65.720001,65.93,65.748833,6399500,220
2023-08-11,65.620003,66.349998,65.470001,65.959999,65.778748,3675100,221
2023-08-14,65.690002,66.120003,65.360001,66.120003,65.938309,3835500,222
2023-08-15,65.760002,65.980003,65.160004,65.419998,65.240234,4384000,223
2023-08-16,65.629997,66.099998,64.82,64.830002,64.651855,6439800,224
2023-08-17,65.07,65.349998,63.950001,64,63.824135,5707300,225
2023-08-18,63.75,65.040001,63.439999,64.830002,64.651855,5910200,226
2023-08-21,64.769997,65.099998,64.029999,64.349998,64.173172,4447400,227
2023-08-22,63.57,63.57,62.41,62.560001,62.388092,6858300,228
2023-08-23,62.389999,63.169998,61.880001,63.07,62.89669,6407900,229
2023-08-24,62.799999,63.110001,61.669998,61.75,61.580318,7427100,230
2023-08-25,62.240002,62.549999,61.380001,62,61.829632,7414100,231
2023-08-28,62.16,62.889999,62.16,62.77,62.597515,5326500,232
2023-08-29,62.790001,63.830002,62.709999,63.759998,63.584793,4519600,233
2023-08-30,63.580002,64.419998,63.560001,64.18,64.003639,3255700,234
2023-08-31,63.93,64.839996,63.869999,64.269997,64.093391,5064700,235
2023-09-01,64.720001,64.879997,64.230003,64.610001,64.432457,3727800,236
2023-09-05,64.050003,64.150002,63.119999,63.200001,63.026333,6604200,237
2023-09-06,63.049999,63.57,62.34,62.709999,62.537678,5725700,238
2023-09-07,62.57,62.779999,62.110001,62.310001,62.138779,6101900,239
2023-09-08,62.360001,62.360001,61.709999,61.98,61.809685,5153300,240
2023-09-11,62.279999,62.59,61.959999,62,61.829632,3002700,241
2023-09-12,62.09,62.639999,61.810001,61.91,61.73988,3562800,242
2023-09-13,62.240002,62.240002,61.360001,61.599998,61.430729,5237100,243
2023-09-14,62.049999,63.09,61.919998,63.040001,62.866776,6538400,244
2023-09-15,62.900002,62.900002,62.009998,62.23,62.058998,6092700,245
2023-09-18,62.040001,62.040001,61.029999,61.07,61.07,5733500,246
2023-09-19,60.990002,61.330002,60.619999,60.91,60.91,7220900,247
2023-09-20,61.060001,61.369999,60.580002,60.619999,60.619999,4622300,248
2023-09-21,60.25,60.470001,59.84,59.869999,59.869999,6568400,249
2023-09-22,60.169998,60.349998,59.564999,59.59,59.59,4620003,250
